Total_area_contour,Total_perimeter_contour,area_hull,area_total,particles,perimeter_hull,perimeter_total,radius_circle,stickness
16097,5.656854153,22897,14979,80000,576.6847395,1670.684539,105.7321625,0.011
1811.5,5.656854153,2297,1689.5,9000,182.1590689,324.7178172,32.46918106,0.011
192.5,5.656854153,263.5,188.5,1000,62.39105773,91.98275506,11.52002907,0.001
1896.5,5.656854153,2271,1766.5,10000,176.1599194,309.060963,30.59121132,0.012
1995,5.656854153,2521,1902.5,11000,186.4636489,344.8599526,32.82551193,0.012
2196,5.656854153,2718,2092,12000,192.4959235,348.7594473,33.53030014,0.012
2371.5,5.656854153,2960,2258,13000,200.3151557,379.0437181,34.67843628,0.012
2557.5,7.656854153,3185,2430,14000,208.9078274,414.7005723,36.92310333,0.012
2707,5.656854153,3415,2590.5,15000,215.6539009,432.9432129,38.39887619,0.012
2999,5.656854153,3653.5,2811,16000,222.9592767,404.5584369,39.48945236,0.012
3142,5.656854153,3931,2976,17000,229.7954423,451.9554055,40.54297256,0.012
3276.5,5.656854153,4145,3117,18000,236.7687908,494.5828221,41.47946548,0.012
3488.5,5.656854153,4353.5,3293.5,19000,243.4082876,500.8254627,42.53493881,0.012
436.5,5.656854153,536.5,398.5,2000,86.55700731,133.0954529,15.62713337,0.012
3644,5.656854153,4613.5,3453,20000,249.6110381,514.5828221,43.50027466,0.012
3901,7.656854153,4843.5,3669.5,21000,255.665881,502.6833273,44.70336151,0.012
4072.5,5.656854153,5075,3832,22000,261.3985947,512.0975409,45.40135574,0.012
4169.5,5.656854153,5424,3965,23000,270.9280647,573.4945095,47.22081757,0.012
4330,5.656854153,5595,4130.5,24000,274.0352519,575.9381605,47.62392044,0.012
4473,5.656854153,5807,4273.5,25000,280.1097862,633.678275,49.25418854,0.012
4680.5,5.656854153,6021,4455,26000,284.494144,631.9209156,49.93344498,0.012
5018,5.656854153,6246.5,4714,27000,290.5774714,608.6072073,51.2097435,0.012
5211.5,7.656854153,6540.5,4899,28000,296.9586906,639.9209156,52.1475029,0.012
5385,5.656854153,6698.5,5071,29000,301.8974928,655.5777698,53.23061371,0.012
616.5,5.656854153,799.5,572.5,3000,106.538752,180.2081507,19.22010803,0.012
5566.5,9.071067691,6995,5242.5,30000,309.1440464,680.7909728,54.9108429,0.012
5824,5.656854153,7368.5,5465,31000,317.6234946,695.5188947,55.61994934,0.012
5958.5,11.07106769,7665.5,5615,32000,324.0806248,749.602155,56.6616745,0.012
6205.5,5.656854153,7963.5,5832,33000,330.3986434,787.200134,58.04020309,0.012
6458,5.656854153,8198,6046,34000,336.6551287,752.9747384,58.78087234,0.012
6647,5.656854153,8423,6224,35000,343.1868644,770.430582,60.16487122,0.012
6823,5.656854153,8671.5,6401.5,36000,348.453403,776.1879414,61.31312561,0.012
6997.5,5.656854153,8956.5,6570,37000,354.1753066,800.0874362,62.12034225,0.012
7165,5.656854153,9282.5,6754.5,38000,360.3999064,837.9280559,63.35105133,0.012
7392.5,5.656854153,9689,6959.5,39000,366.5906038,852.6143476,64.00688934,0.012
769.5,5.656854153,939,730,4000,114.6272018,194.7939372,20.49409866,0.012
7618,5.656854153,9912.5,7158,40000,369.6039376,856.1706965,64.45652008,0.012
7763.5,5.656854153,10151.5,7332,41000,375.6864762,863.6854153,65.91742706,0.012
7979.5,10.48528123,10513,7526,42000,382.7578058,872.7148528,67.29653931,0.012
8118,5.656854153,10854.5,7669,43000,388.2304097,916.9991236,68.57901001,0.012
8267,5.656854153,11105,7823.5,44000,392.0670056,955.3250245,69.01644135,0.012
8427,5.656854153,11310.5,7996.5,45000,396.6697491,957.3250245,69.45381165,0.012
8618,5.656854153,11657,8172.5,46000,403.6164135,1012.579858,70.75443268,0.012
8775,5.656854153,11949,8321.5,47000,407.7415456,1098.805253,71.54341888,0.012
8969.5,5.656854153,12266.5,8510,48000,412.9188328,1131.047894,72.32791901,0.012
9179,5.656854153,12506.5,8705,49000,417.6894275,1160.503738,73.30792236,0.012
980,5.656854153,1156.5,923,5000,125.1363683,189.7644997,21.77367783,0.012
9457,5.656854153,12883.5,8939,50000,426.341032,1119.39104,75.44004059,0.012
9618.5,5.656854153,13157.5,9101.5,51000,429.7150462,1141.63368,76.02464294,0.012
9809,7.656854153,13498,9302.5,52000,434.6361519,1142.118962,77.47151184,0.012
10069,5.656854153,13857,9513,53000,442.502977,1165.675311,79.05514526,0.012
10370.5,5.656854153,14380.5,9749,54000,449.6195376,1155.332165,80.76596832,0.012
10524,5.656854153,14863.5,9919.5,55000,455.6974971,1194.888514,82.14862061,0.012
10672.5,5.656854153,15064,10082,56000,458.8117363,1228.101717,82.55687714,0.012
10857.5,5.656854153,15379.5,10262.5,57000,463.8673943,1254.829639,83.61987305,0.012
11154,5.656854153,15818,10500,58000,468.6477463,1267.214415,84.56567383,0.012
11495.5,5.656854153,16190.5,10763,59000,474.5546687,1273.214415,86.22856903,0.012
1133.5,5.656854153,1434,1073,6000,138.8359795,254.0487704,23.7434864,0.012
11743,5.656854153,16373.5,10971,60000,476.3309426,1241.959581,86.61125183,0.012
11900.5,5.656854153,16765,11147,61000,483.0757433,1292.042842,87.33021545,0.012
12249.5,9.071067691,16956,11413,62000,487.2931004,1250.243852,88.37701416,0.012
12372.5,5.656854153,17274.5,11570.5,63000,493.6927021,1296.971774,90.12135315,0.012
12556,5.656854153,17466.5,11753,64000,496.3484733,1336.670258,90.47314453,0.012
12732,7.656854153,18009.5,11946.5,65000,503.4981369,1358.569753,91.71677399,0.012
12864,5.656854153,18289,12090,66000,509.3346262,1414.268237,93.01031494,0.012
13033,5.656854153,18597,12262,67000,512.5543246,1471.665206,93.93351746,0.012
13246.5,5.656854153,18964,12452.5,68000,516.2987952,1497.221555,94.29886627,0.012
13502.5,5.656854153,19468,12676.5,69000,521.0610722,1513.020544,95.02849579,0.012
1318,5.656854153,1602.5,1244.5,7000,146.759519,259.2619735,25.40550995,0.012
5176,5.656854153,6121.5,5074.5,70000,290.4922627,493.1686085,51.6555481,0.001
13821.5,7.656854153,19955.5,13015.5,71000,527.1570604,1578.760659,96.91409302,0.012
14187.5,5.656854153,20257.5,13300,72000,532.9589946,1527.12105,97.97467804,0.012
14355,5.656854153,20442,13465.5,73000,535.7141502,1551.304815,98.28018951,0.012
14554,5.656854153,20912.5,13647.5,74000,543.280066,1579.304815,99.75935364,0.012
14769,9.071067691,21173,13848,75000,545.1867204,1575.20431,99.83378601,0.012
14933,7.656854153,21607.5,14017.5,76000,550.4722282,1623.589086,100.429718,0.012
15084.5,5.656854153,21916.5,14177,77000,553.2786758,1641.488581,100.7027054,0.012
